v_region_origen,v_region_destino,v_tipo_visitante,g_cantidad_visitantes_agrup,v_cantidad_noches_agrup,v_tipo_alojamiento_agrup,v_medio_transporte,v_motivo_viaje,g_quintil_pcf_visitante,g_nivel_ed_mayoritaria,g_cond_act_mayoritaria,j_sexo,j_edad,j_nivel_ed,j_cond_act,g_cant_menores,g_cant_jovenes,g_cant_adultos,g_cant_ancianos,g_cant_mujeres,g_cant_varones,v_cant_actividades_mayoritaria,g_viaje_familia_completa,g_promedio_edad_agrup,v_gasto_usd_agrup
Provincia de Buenos Aires - Partidos del GBA,Cuyo,Turista,1 o 2 personas,4 a 7 noches,Vivienda de familiares y amigos,Automóvil o similar (propio),Visitas a familiares o amigos,Quinto quintil,Primaria completa - secundaria incompleta,Inactivo,Varón,60 años o más,Primaria completa - secundaria incompleta,Inactivo,0,0,0,2 o más,1,1,0 actividades,Si,"(70, 100]","(100, 15000]"
Provincia de Buenos Aires - Partidos del GBA,Norte,Turista,1 o 2 personas,4 a 7 noches,Vivienda de familiares y amigos,Avión,Visitas a familiares o amigos,Cuarto quintil,Secundaria completa - superior incompleta,Inactivo,Mujer,60 años o más,Superior completa o más,Inactivo,0,0,0,2 o más,1,1,1 o 2 actividades,No,"(70, 100]","(100, 15000]"
Provincia de Buenos Aires - Partidos del GBA,Litoral,Turista,1 o 2 personas,1 a 3 noches,Hotel o similar hasta 3 estrellas,Automóvil o similar (propio),"Esparcimiento, ocio, recreacion",Quinto quintil,Superior completa o más,Inactivo,Varón,45 a 59 años,Superior completa o más,Inactivo,0,0,2 o más,0,1,1,1 o 2 actividades,No,"(30, 45]","(-1, 100]"
Provincia de Buenos Aires - Partidos del GBA,Provincia de Buenos Aires - Resto,Excursionista,1 o 2 personas,0 noches,No usó,Automóvil o similar (propio),Otro,Segundo quintil,Primaria completa - secundaria incompleta,Inactivo,Varón,60 años o más,Primaria completa - secundaria incompleta,Inactivo,0,0,1,1,1,1,0 actividades,No,"(60, 70]","(-1, 100]"
Provincia de Buenos Aires - Partidos del GBA,Litoral,Turista,1 o 2 personas,8 a 14 noches,Hotel similar 4 o 5 estrellas,Omnibus,Otro,Cuarto quintil,Superior completa o más,Ocupado,Mujer,30 a 44 años,Superior completa o más,Ocupado,0,0,1,0,1,0,0 actividades,No,"(30, 45]","(100, 15000]"
Provincia de Buenos Aires - Partidos del GBA,Provincia de Buenos Aires - Resto,Excursionista,1 o 2 personas,0 noches,No usó,Automóvil o similar (propio),Visitas a familiares o amigos,Cuarto quintil,Secundaria completa - superior incompleta,Inactivo,Mujer,60 años o más,Secundaria completa - superior incompleta,Inactivo,0,0,0,2 o más,1,1,0 actividades,Si,"(60, 70]","(-1, 100]"
Provincia de Buenos Aires - Partidos del GBA,Provincia de Buenos Aires - Resto,Excursionista,1 o 2 personas,0 noches,No usó,Automóvil o similar (propio),Visitas a familiares o amigos,Cuarto quintil,Secundaria completa - superior incompleta,Inactivo,Mujer,60 años o más,Secundaria completa - superior incompleta,Inactivo,0,0,0,2 o más,1,1,0 actividades,Si,"(60, 70]","(-1, 100]"
Provincia de Buenos Aires - Partidos del GBA,Patagonia,Turista,1 o 2 personas,4 a 7 noches,Hotel o similar hasta 3 estrellas,Omnibus,"Esparcimiento, ocio, recreacion",Tercer quintil,Primaria completa - secundaria incompleta,Inactivo,Varón,30 a 44 años,Primaria completa - secundaria incompleta,Ocupado,1,0,0,0,1,0,más de 2 actividades,No,"(0, 30]","(100, 15000]"
Ciudad de Buenos Aires,Provincia de Buenos Aires - Resto,Excursionista,3 o 4 personas,0 noches,No usó,Automóvil o similar (propio),"Esparcimiento, ocio, recreacion",Quinto quintil,Superior completa o más,Inactivo,Mujer,60 años o más,Superior completa o más,Inactivo,0,1,1,1,2,1,0 actividades,Si,"(45, 60]","(-1, 100]"
Ciudad de Buenos Aires,Provincia de Buenos Aires - Resto,Excursionista,3 o 4 personas,0 noches,No usó,Automóvil o similar (propio),"Esparcimiento, ocio, recreacion",Quinto quintil,Superior completa o más,Inactivo,Mujer,60 años o más,Superior completa o más,Inactivo,0,1,1,1,2,1,0 actividades,Si,"(45, 60]","(-1, 100]"
