"id_hogar","id_viajes","miembro","anio","trimestre","region_origen","aglomerado_origen","region_destino","provincia_destino","localidad_destino","cod_loc_2001","codigo_2001","codigo_2010","cod_prov_2010","cod_depto_2010","cod_loc_2010","pondera","tipo_visitante","cantidad_destinos","multidestino","px06","px06_agrup","px07","px07_agrup","px08","px08_agrup","px09","px10_1","px11","px12_1","px12_2","px12_3","px12_4","px12_5","px12_6","px12_7","px12_8","px13","px14","px15_1","px15_2","px15_3","px15_4","pxb16_1_1","pxb16_1_2","pxb16_1_3","pxb16_1_4","pxb16_1_5","pxb16_1_6","pxb16_1_7","pxb16_1_9","pxb16_2","px17_1","px17_2_1","px17_2_2","px17_2_3","px17_2_4","px17_2_5","px17_2_6","px17_2_7","px17_2_8","px17_2_9","px17_2_10","px17_2_11","px17_2_12","px17_2_13","px18_1","px18_2","px18_3","px18_4","px18_5","px18_6","px18_7","gasto_pc","quintil_pcf_visitante","p002","p004","p005","p006","p006_agrup","p007","nivel_ed","cond_act","p013","j_sexo","j_edad","j_nivel_ed","j_cond_act"
272744,61101,2,2020,1,7,10,7,50,"Potrerillos",100,"50063110","50063110","50","063","110",109,1,1,1,2,1,1,1,7,5,1,1,2,10,10,10,10,10,10,10,10,99,9,10,10,10,10,1,1,2,1,1,1,1,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,10,10,10,10,1500,5,5,2,1,95,5,2,2,3,2,2,4,2,3
272744,91101,1,2020,1,7,10,7,50,"Tunuyán",192,"50119060","50119060","50","119","060",109,2,1,1,3,2,0,,0,0,1,1,,,,,,,,,,,2,10,10,10,10,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,500,5,5,1,2,88,5,2,3,3,2,2,4,2,3
272744,91101,2,2020,1,7,10,7,50,"Tunuyán",192,"50119060","50119060","50","119","060",109,2,1,1,3,2,0,,0,0,1,1,,,,,,,,,,,2,10,10,10,10,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,500,5,5,2,1,95,5,2,2,3,2,2,4,2,3
272744,91101,3,2020,1,7,10,7,50,"Tunuyán",192,"50119060","50119060","50","119","060",109,2,1,1,3,2,0,,0,0,1,1,,,,,,,,,,,2,10,10,10,10,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,500,5,5,3,2,55,4,2,9,1,2,2,4,2,3
272756,91101,1,2020,1,6,29,6,90,"San Pedro de Colalao",106,"90112020","90112020","90","112","020",964,2,1,1,1,1,0,,0,0,1,1,,,,,,,,,,,2,10,10,10,10,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,1000,5,1,1,1,71,5,2,8,3,2,1,4,3,3
272756,92101,1,2020,1,6,29,6,90,"El Mollar",93,"90098030","90098030","90","098","030",964,2,1,1,1,1,0,,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,1000,5,1,1,1,71,5,2,8,3,2,1,4,3,3
272763,61101,1,2020,1,6,23,6,66,"Colonia Santa Rosa",104,"66126020","66126020","66","126","020",78,1,1,1,2,1,3,1,3,2,1,1,2,10,10,10,10,10,10,10,10,4,2,10,10,10,10,2,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,9,100,8,100,10,10,9,3000,4,2,1,1,60,5,2,7,3,2,1,4,4,3
272763,61101,2,2020,1,6,23,6,66,"Colonia Santa Rosa",104,"66126020","66126020","66","126","020",78,1,1,1,2,1,3,1,3,2,1,1,2,10,10,10,10,10,10,10,10,4,2,10,10,10,10,2,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,9,100,8,100,10,10,9,3000,4,2,2,2,70,5,2,4,3,2,1,4,4,3
272766,91101,1,2020,1,6,29,6,90,"Tafí del Valle",94,"90098040","90098040","90","098","040",92,2,1,1,3,2,0,,0,0,1,1,,,,,,,,,,,2,10,10,10,10,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,166.666666666667,5,6,1,2,49,4,2,7,1,2,2,3,4,1
272766,91101,2,2020,1,6,29,6,90,"Tafí del Valle",94,"90098040","90098040","90","098","040",92,2,1,1,3,2,0,,0,0,1,1,,,,,,,,,,,2,10,10,10,10,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,166.666666666667,5,6,3,2,16,2,1,4,1,2,2,3,4,1
272766,91101,3,2020,1,6,29,6,90,"Tafí del Valle",94,"90098040","90098040","90","098","040",92,2,1,1,3,2,0,,0,0,1,1,,,,,,,,,,,2,10,10,10,10,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,166.666666666667,5,6,3,2,20,2,2,5,1,2,2,3,4,1
272779,91101,1,2020,1,2,33,3,6,"General Belgrano",276,"06301010","06301010","06","301","010",263,2,1,1,4,2,0,,0,0,1,1,,,,,,,,,,,2,10,10,10,10,,,,,,,,,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,1250,1,4,1,2,80,5,2,5,3,2,2,4,3,3
272779,91101,2,2020,1,2,33,3,6,"General Belgrano",276,"06301010","06301010","06","301","010",263,2,1,1,4,2,0,,0,0,1,1,,,,,,,,,,,2,10,10,10,10,,,,,,,,,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,1250,1,4,2,1,80,5,2,5,3,2,2,4,3,3
272779,91101,3,2020,1,2,33,3,6,"General Belgrano",276,"06301010","06301010","06","301","010",263,2,1,1,4,2,0,,0,0,1,1,,,,,,,,,,,2,10,10,10,10,,,,,,,,,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,1250,1,4,3,2,60,5,2,5,1,2,2,4,3,3
272779,91101,4,2020,1,2,33,3,6,"General Belgrano",276,"06301010","06301010","06","301","010",263,2,1,1,4,2,0,,0,0,1,1,,,,,,,,,,,2,10,10,10,10,,,,,,,,,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,1250,1,4,3,2,58,4,2,9,1,2,2,4,3,3
272813,91101,1,2020,1,5,4,3,6,"San Nicolás de los Arroyos",765,"06763050","06763050","06","763","050",822,2,1,1,1,1,0,,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,500,4,1,1,2,90,5,2,7,3,2,2,4,4,3
272823,41101,1,2020,1,3,2,3,6,"Mar del Plata",317,"06357110","06357110","06","357","110",116,1,1,1,3,2,15,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,2,2,2,2,2,2,2,2,2,2,,,,,,,,5000,5,3,1,2,55,4,2,9,1,2,2,3,4,1
272823,41101,2,2020,1,3,2,3,6,"Mar del Plata",317,"06357110","06357110","06","357","110",116,1,1,1,3,2,15,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,2,2,2,2,2,2,2,2,2,2,,,,,,,,5000,5,3,5,2,50,4,2,8,1,2,2,3,4,1
